Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,1-2h,1-2km;18.3238582611084;;4.04876852035522;;22.3726272583008;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,2-3h,1-2km;27.839147567749;;6.16287231445313;;34.0020217895508;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,3-4h,1-2km;38.1358871459961;;8.45541954040527;;46.59130859375;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,4-5h,1-2km;48.5036582946777;;10.7661180496216;;59.269775390625;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,5-6h,1-2km;59.2269439697266;;13.1585855484009;;72.3855285644531;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,6-7h,1-2km;69.9502182006836;;15.5510578155518;;85.5012741088867;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,7-8h,1-2km;80.6735229492188;;17.9435234069824;;98.6170501708984;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,8-9h,1-2km;91.3968048095703;;20.3359966278076;;111.732803344727;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,9-10h,1-2km;102.1201171875;;22.7284698486328;;124.848587036133;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,10-11h,1-2km;112.843406677246;;25.1209411621094;;137.96435546875;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,11-12h,1-2km;123.566688537598;;27.5134086608887;;151.080093383789;
cold_avr_WTT[4.2.2];LCV;2020;REF D HB42;CO2e;Urban;TØ,>12h,1-2km;128.979766845703;;28.7211284637451;;157.700897216797;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,0-1km;0.0607628747820854;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,0-1km;0.107524059712887;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,0-1km;0.159362405538559;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,0-1km;0.217543393373489;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,0-1km;0.276340454816818;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,0-1km;0.337749481201172;;;;;
